num,slug,title_ar,filename,suggested_storyboard_name
001,wash_hands,أغسل يدي,001_wash_hands.png,001.webp
002,brush_teeth,أنظف أسناني,002_brush_teeth.png,002.webp
003,tidy_toys,أرتب ألعابي,003_tidy_toys.png,003.webp
004,wear_shoes,ألبس حذائي,004_wear_shoes.png,004.webp
005,wear_clothes,أرتدي ملابسي,005_wear_clothes.png,005.webp
006,put_clothes_in_basket,أضع ملابسي في السلة,006_put_clothes_in_basket.png,006.webp
007,drink_water,أشرب الماء,007_drink_water.png,007.webp
008,eat_meal_calmly,أتناول وجبتي بهدوء,008_eat_meal_calmly.png,008.webp
009,use_spoon,أستخدم الملعقة,009_use_spoon.png,009.webp
010,wipe_nose,أمسح أنفي,010_wipe_nose.png,010.webp
011,throw_tissue_in_bin,أرمي المنديل في السلة,011_throw_tissue_in_bin.png,011.webp
012,wash_face,أغسل وجهي,012_wash_face.png,012.webp
013,comb_hair,أمشط شعري,013_comb_hair.png,013.webp
014,take_off_shoes_and_put_away,أخلع حذائي وأضعه في مكانه,014_take_off_shoes_and_put_away.png,014.webp
015,enter_bathroom_calmly,أدخل الحمام بهدوء,015_enter_bathroom_calmly.png,015.webp
016,sit_on_potty,أجلس على النونية,016_sit_on_potty.png,016.webp
017,flush_toilet,أشد السيفون,017_flush_toilet.png,017.webp
018,wash_hands_after_bathroom,أغسل يدي بعد الحمام,018_wash_hands_after_bathroom.png,018.webp
019,make_bed,أرتب سريري,019_make_bed.png,019.webp
020,put_books_on_shelf,أضع كتبي في الرف,020_put_books_on_shelf.png,020.webp
021,collect_blocks_in_box,أجمع المكعبات في الصندوق,021_collect_blocks_in_box.png,021.webp
022,say_hello,أحيي وأقول مرحباً,022_say_hello.png,022.webp
023,ask_permission_before_taking,أستأذن قبل أخذ شيء,023_ask_permission_before_taking.png,023.webp
024,say_thank_you,أقول شكراً,024_say_thank_you.png,024.webp
025,share_play,أشارك اللعب,025_share_play.png,025.webp
026,wait_my_turn,أنتظر دوري,026_wait_my_turn.png,026.webp
027,calm_down_when_upset,أهدأ عندما أنزعج,027_calm_down_when_upset.png,027.webp
028,wash_fruit_before_eating,أغسل الفاكهة قبل الأكل,028_wash_fruit_before_eating.png,028.webp
029,sleep_early,أنام مبكراً,029_sleep_early.png,029.webp
030,put_away_colors_after_drawing,أحفظ ألواني بعد الرسم,030_put_away_colors_after_drawing.png,030.webp
